class_id,course_code,professor,day,time
41730,BIO 344,"Butler,Luke  ",Tues Fri,2:00 PM
41731,BIO 344,"Butler,Luke  ",Tues ,8:00 AM
42810,BIO 344,"Butler,Luke  ",Fri,8:00 AM
42280,BIO 360,"Shevlin,Dennis  ",Tues Fri,9:30 AM
42281,BIO 360,"Shevlin,Dennis  ",Tues ,2:00 PM
42248,BIO 371,"Nayak,Sudhir  ",Tues Fri,9:30 AM
42248,BIO 371,"Papamichail,Dimitrios  ",Tues Fri,9:30 AM
42249,BIO 371,"Nayak,Sudhir  ",Fri,11:00 AM
42249,BIO 371,"Papamichail,Dimitrios  ",Fri,11:00 AM
42760,BIO 399,"Erickson,Jeffery  ",Wed ,9:30 AM
41738,BIO 441,"Thornton,Leeann  ",Tues Fri,9:30 AM
41721,BIO 470,"Sarwar,Zaara  ",Mon Thurs ,9:30 AM
42276,BIO 470,"Sarwar,Zaara  ",Mon ,11:00 AM
42277,BIO 470,"Sarwar,Zaara  ",Thurs ,11:00 AM
42278,BIO 470,"Woldemariam,Melkamu  ",Mon Thurs ,2:00 PM
42279,BIO 470,"Woldemariam,Melkamu  ",Thurs ,9:30 AM
42282,BIO 480,"Erickson,Jeffery  ",Mon Thurs ,11:00 AM
42283,BIO 480,"Erickson,Jeffery  ",Mon ,12:30 PM
41683,BIO 498,"O'Neill,Brian  ",Mon Thurs ,11:00 AM
41748,BIO 498,"Grochau-Wright,Zachariah  ",Mon Thurs ,3:30 PM
41518,BME 323,"Hang,Tianqi  ",Mon Wed ,5:30 PM
41523,BME 323,"Hang,Tianqi  ",Mon Wed ,8:00 PM
41519,BME 323,"Hang,Tianqi  ",Mon ,7:00 PM
41524,BME 323,"Hang,Tianqi  ",Wed ,7:00 PM
41522,BME 333,"Christiani,Thomas  ",Fri,9:30 AM
42667,BME 333,"Christiani,Thomas  ",Fri,2:00 PM
42670,BME 343,"Lau,Anthony  ",Mon Thurs ,12:30 PM
42668,BME 343,"Lau,Anthony  ",Mon Thurs ,2:00 PM
42671,BME 343,"Lau,Anthony  ",Wed ,9:00 AM
42669,BME 343,"Lau,Anthony  ",Wed ,10:00 AM
41520,BME 350,"Hall,Constance  ",Tues Fri,2:00 PM
42672,BME 350,"Hall,Constance  ",Tues Fri,11:00 AM
41517,BME 371,"Busha,Brett  ",Mon Thurs ,8:00 AM
42677,BME 371,"Busha,Brett  ",Mon Thurs ,9:30 AM
42678,BME 470,"Gabrieli,David  ",Tues Thurs ,5:30 PM
42679,BME 470,"Gabrieli,David  ",Tues ,4:30 PM
41521,BME 480,"Busha,Brett  ",Mon Thurs ,12:30 PM
42245,BME 496,"Wagner,Christopher  ",Wed ,10:00 AM
40042,BUS 100,"Lehr-Furtado,Mary  ",Wed ,10:00 AM
40043,BUS 100,"Lehr-Furtado,Mary  ",Wed ,11:00 AM
40025,BUS 200,"Monseau,Susanna  ",Mon Thurs ,9:30 AM
40026,BUS 200,"Monseau,Susanna  ",Mon Thurs ,11:00 AM
40027,BUS 200,"Jacobs,Andrea  ",Mon Thurs ,12:30 PM
40030,BUS 200,"Michels,Kevin  ",Tues Fri,9:30 AM
40032,BUS 200,"Schnarr Chiarello,Christine  ",Tues Fri,9:30 AM
40034,BUS 200,"Scheindlin,Lewis  ",Tues Fri,11:00 AM
40036,BUS 200,"Scheindlin,Lewis  ",Tues Fri,1:30 PM
40044,BUS 200,"Mikulski,Thaddeus  ",Tues Thurs ,5:30 PM
40047,BUS 200,"Sprishen,Leonard  ",Wed ,6:00 PM
40033,BUS 325,"Lasher,Nancy  ",Mon Thurs ,9:30 AM
40045,BUS 360,"Monseau,Susanna  ",Mon Thurs ,2:00 PM
40041,BUS 375,"Michels,Kevin  ",Tues Fri,11:00 AM
40225,BUS 385,"Michels,Kevin  ",Tues Fri,2:00 PM
40029,BUS 498,"Prensky,David  ",Mon Thurs ,2:00 PM
40035,BUS 498,"Leventry,Jeffrey  ",Mon ,5:30 PM
40039,BUS 498,"Wheeler,Patrick  ",Thurs ,5:30 PM
40040,BUS 498,"Requa,James  ",Tues ,5:30 PM
40048,BUS  99,"Dieterich,Tammy  ",Fri,12:30 PM
41764,CHE 201,"Chan,Benny  ",Mon Wed ,5:30 PM
41765,CHE 201,"Chan,Benny  ",Mon ,7:00 PM
41787,CHE 201,"Chan,Benny  ",Wed ,7:00 PM
41772,CHE 201,"Bassolino,Donna  ",Mon Thurs ,9:30 AM
41773,CHE 201,"Bassolino,Donna  ",Mon ,12:30 PM
42135,CHE 201,"Bassolino,Donna  ",Thurs ,12:30 PM
42136,CHE 201,"Supplee,Carolyn  ",Tues Thurs ,5:30 PM
42137,CHE 201,"Supplee,Carolyn  ",Tues ,7:00 PM
42138,CHE 201,"Supplee,Carolyn  ",Thurs ,7:00 PM
42139,CHE 201,"Brescia,Marc  ",Tues Fri,2:00 PM
42140,CHE 201,"Brescia,Marc  ",Tues ,9:30 AM
41766,CHE 202,"Lindsey,Wendy  ",Mon Thurs ,8:00 AM
41767,CHE 202,"Lindsey,Wendy  ",Mon ,9:30 AM
41783,CHE 202,"Lindsey,Wendy  ",Thurs ,9:30 AM
41794,CHE 202,"Simpson,Grey  ",Mon Wed ,5:30 PM
41795,CHE 202,"Simpson,Grey  ",Mon ,7:00 PM
41796,CHE 202,"Simpson,Grey  ",Wed ,7:00 PM
41768,CHE 202,"Bunagan,Michelle  ",Mon Thurs ,3:30 PM
41769,CHE 202,"Bunagan,Michelle  ",Mon ,12:30 PM
41777,CHE 202,"Bunagan,Michelle  ",Thurs ,12:30 PM
41774,CHE 202,"Johnson,Jack  ",Tues Fri,11:00 AM
41775,CHE 202,"Johnson,Jack  ",Tues ,2:00 PM
41784,CHE 202,"Manea Krichten,Mirela  ",Fri,2:00 PM
41780,CHE 202,"Ekanger,Levi  ",Tues Fri,9:30 AM
41781,CHE 202,"Ekanger,Levi  ",Tues ,2:00 PM
41782,CHE 202,"Ekanger,Levi  ",Fri,2:00 PM
41808,CHE 310,"Hunter,Rebecca  ",Tues Fri,8:00 AM
41809,CHE 310,"Hunter,Rebecca  ",Tues ,9:30 AM
41810,CHE 310,"Hunter,Rebecca  ",Fri,9:30 AM
41790,CHE 316,"Guarracino,Danielle  ",Wed ,10:00 AM
41791,CHE 317,"Hirsh,Donald  ",Wed ,10:00 AM
41763,CHE 331,"Le,Thuy  ",Mon Wed ,5:30 PM
41792,CHE 331,"Le,Thuy  ",Mon ,7:00 PM
41793,CHE 331,"Le,Thuy  ",Wed ,7:00 PM
41755,CHE 332,"Triano,Rebecca  ",Mon Thurs ,11:00 AM
41761,CHE 332,"Triano,Rebecca  ",Mon ,2:00 PM
41776,CHE 332,"Triano,Rebecca  ",Thurs ,2:00 PM
41778,CHE 332,"Theodoridis,George  ",Tues Thurs ,5:30 PM
41779,CHE 332,"Theodoridis,George  ",Tues ,7:00 PM
41804,CHE 332,"Theodoridis,George  ",Thurs ,7:00 PM
42058,CHE 332,"Abourahma,Heba  ",Tues Fri,11:00 AM
42059,CHE 332,"Abourahma,Heba  ",Tues ,2:00 PM
41798,CHE 332,"Hunt,David  ",Mon Thurs ,8:00 AM
41799,CHE 332,"Hunt,David  ",Mon ,9:30 AM
41807,CHE 332,"Hunt,David  ",Thurs ,9:30 AM
41786,CHE 350,"Bassolino,Donna  ",Tues Thurs ,5:30 PM
42184,CHE 370,"Aucott,Michael  ",Tues Thurs ,5:30 PM
41759,CHE 371,"Baker,Joseph  ",Mon Thurs ,12:30 PM
41756,CHE 371,"Baker,Joseph  ",Mon ,2:00 PM
41757,CHE 371,"Baker,Joseph  ",Thurs ,2:00 PM
41760,CHE 430,"Sen,Stephanie  ",Tues Fri,9:30 AM
41788,CHE 430,"Sen,Stephanie  ",Tues ,2:00 PM
42170,CHE 474,"Guarracino,Danielle  ",Mon Thurs ,9:30 AM
42171,CHE 474,"Guarracino,Danielle  ",Thurs ,12:30 PM
41802,CHE 476,"O'Connor,Abby  ",Tues Fri,11:00 AM
41803,CHE 476,"O'Connor,Abby  ",Tues ,2:00 PM
41531,CIV 251,"Paliwal,Manish  ",Mon Thurs ,8:00 AM
41537,CIV 251,"Strafaci,Joseph  ",Tues Thurs ,5:30 PM
41542,CIV 251,"Strafaci,Joseph  ",Tues Thurs ,7:00 PM
41545,CIV 343,"Youssefagha,Ahmed  ",Mon Wed ,5:30 PM
41539,CIV 343,"Youssefagha,Ahmed  ",Mon Wed ,7:00 PM
41532,CIV 351,"Al-Omaishi,Nabil  ",Mon Thurs ,9:30 AM
42583,CIV 351,"Maccariella,James  ",Tues Thurs ,5:30 PM
41533,CIV 351,"Al-Omaishi,Nabil  ",Wed ,9:00 AM
42584,CIV 351,"Maccariella,James  ",Thurs ,7:00 PM
42689,CIV 363,"Patel,Kunal  ",Mon ,5:00 PM
42690,CIV 363,"Patel,Kunal  ",Wed ,5:00 PM
41541,CIV 372,"Purcell,James  ",Mon Thurs ,8:00 AM
42582,CIV 372,"Purcell,James  ",Tues Fri,8:00 AM
42692,CIV 381,"Najjar,Kenneth  ",Thurs ,9:30 AM
41534,CIV 385,"Horst,Michael  ",Tues Fri,11:00 AM
42693,CIV 385,"Horst,Michael  ",Tues Fri,2:00 PM
41538,CIV 385,"Horst,Michael  ",Wed ,10:00 AM
42694,CIV 385,"Horst,Michael  ",Wed ,4:00 PM
41535,CIV 431,"Krstic,Vedrana  ",Tues Fri,9:30 AM
42701,CIV 431,"Krstic,Vedrana  ",Tues Fri,3:30 PM
41536,CIV 431,"Krstic,Vedrana  ",Wed ,8:00 AM
42702,CIV 431,"Krstic,Vedrana  ",Wed ,5:00 PM
41540,CIV 444,"Bechtel,Andrew  ",Mon Thurs ,11:00 AM
42704,CIV 444,"Bechtel,Andrew  ",Mon Thurs ,12:30 PM
41543,CIV 471,"Wintermute,J. Michael  ",Tues Thurs ,7:00 PM
41544,CIV 471,"Wintermute,J. Michael  ",Tues Thurs ,8:30 PM
42708,CIV 496,"Krstic,Vedrana  ",Wed ,6:00 PM
41813,CSC 215,"Niroomand,Hajar  ",Mon Wed ,5:30 PM
41821,CSC 215,"Higgins,Brian  ",Tues Thurs ,7:00 PM
41818,CSC 215,"Anand,Shajina  ",Tues Fri,9:30 AM
41819,CSC 215,"Anand,Shajina  ",Tues Fri,11:00 AM
41842,CSC 215,"Niroomand,Hajar  ",Mon Wed ,7:00 PM
41814,CSC 220,"Rhoads,Glenn  ",Thurs ,11:00 AM
41840,CSC 220,"Russo,Mark  ",Tues Thurs ,5:30 PM
41815,CSC 230,"Li,Jikai  ",Tues Fri,11:00 AM
41822,CSC 230,"Shahnewaz Ferdous,Sharif Mohammad  ",Mon ,11:00 AM
41844,CSC 230,"Shahnewaz Ferdous,Sharif Mohammad  ",Mon Thurs ,3:30 PM
41816,CSC 270,"Salgian,Andrea  ",Mon Thurs ,9:30 AM
41845,CSC 270,"Salgian,Andrea  ",Mon ,12:30 PM
41828,CSC 270,"Rhoads,Glenn  ",Tues Fri,11:00 AM
41830,CSC 270,"Rhoads,Glenn  ",Tues Fri,3:30 PM
41851,CSC 275,"Ammar,Ron  ",Mon ,5:30 PM
41827,CSC 299,"Knox,Deborah  ",Mon ,11:00 AM
41829,CSC 299,"Knox,Deborah  ",Mon ,2:00 PM
42756,CSC 307,"Ochs,Michael  ",Mon Thurs ,2:00 PM
41839,CSC 315,"Degood,John  ",Mon Thurs ,3:30 PM
42901,CSC 315,"Degood,John  ",Mon Thurs ,2:00 PM
41824,CSC 325,"Knox,Deborah  ",Mon Thurs ,9:30 AM
41826,CSC 335,"Papamichail,Dimitrios  ",Tues Fri,3:30 PM
41820,CSC 345,"Yoon,Sejong  ",Mon ,12:30 PM
41841,CSC 345,"Degood,John  ",Tues Fri,11:00 AM
42233,CSC 380,"Yoon,Sejong  ",Mon Thurs ,2:00 PM
41817,CSC 415,"Pulimood,Sarah  ",Mon Thurs ,9:30 AM
41847,CSC 415,"Pulimood,Sarah  ",Mon Thurs ,12:30 PM
41823,CSC 445,"Papamichail,Dimitrios  ",Tues Fri,2:00 PM
42234,CSC 450,"Li,Jikai  ",Tues ,9:30 AM
41825,CSC 470,"Bloodgood,Michael  ",Tues Fri,3:30 PM
40049,ECO 101,"Levine,Jeremy  ",Tues Fri,8:00 AM
40050,ECO 101,"Levine,Jeremy  ",Tues Fri,11:00 AM
40051,ECO 101,"Liu,Jingxi  ",Tues Fri,2:00 PM
40052,ECO 101,"O'Donnell,Anthony  ",Mon Thurs ,5:30 PM
40065,ECO 101,"Liu,Jingxi  ",Tues Fri,3:30 PM
40069,ECO 101,"Baker,Richard  ",Mon Thurs ,9:30 AM
40228,ECO 101,"Cerf,Jerry  ",Mon Thurs ,12:30 PM
40053,ECO 102,"Vandegrift,Donald  ",Mon Thurs ,9:30 AM
40054,ECO 102,"Elgawly,Michael  ",Tues Fri,8:00 AM
40056,ECO 102,"Greenblatt,Matthew  ",Tues Fri,9:30 AM
40066,ECO 102,"Samanta,Subarna  ",Mon Thurs ,12:30 PM
40057,ECO 102,"Ganguli,Subhadra  ",Mon Thurs ,11:00 AM
40058,ECO 102,"Nelson,Howard  ",Mon ,6:00 PM
40068,ECO 102,"Ganguli,Subhadra  ",Mon Thurs ,9:30 AM
40070,ECO 102,"Rawal,Manan  ",Thurs ,6:00 PM
40219,ECO 102,"Brodersen,Donka  ",Tues Fri,11:00 AM
40220,ECO 102,"Nelson,Howard  ",Tues ,6:00 PM
40055,ECO 102,"Naples,Michele  ",Tues Fri,9:30 AM
40072,ECO 120,"Baker,Richard  ",Mon Thurs ,11:00 AM
40059,ECO 210,"Naples,Michele  ",Tues Fri,2:00 PM
40061,ECO 231,"Tang,Linghui  ",Tues Fri,9:30 AM
40062,ECO 231,"Tang,Linghui  ",Tues ,6:00 PM
40221,ECO 231,"O'Grady,Trevor  ",Tues Fri,11:00 AM
40063,ECO 301,"Vandegrift,Donald  ",Mon Thurs ,2:00 PM
40218,ECO 320,"Brodersen,Donka  ",Tues Fri,1:30 PM
40071,ECO 340,"Ganguli,Subhadra  ",Mon Thurs ,3:30 PM
40067,ECO 350,"O'Grady,Trevor  ",Tues Fri,2:00 PM
42085,ECO 495,"O'Grady,Trevor  ",Wed ,10:00 AM
42086,ECO 495,"Baker,Richard  ",Wed ,10:00 AM
42087,ECO 495,"Greenblatt,Matthew  ",Wed ,10:00 AM
41552,ELC 251,"Deese,Anthony  ",Tues Fri,8:00 AM
41561,ELC 251,"Deese,Anthony  ",Tues Fri,9:30 AM
41549,ELC 321,"Adegbege,Ambrose  ",Mon Thurs ,12:30 PM
41559,ELC 321,"Macdonald,John  ",Tues Thurs ,5:30 PM
41562,ELC 321,"Holubec,George  ",Tues Thurs ,7:00 PM
41550,ELC 333,"Jesson,Joseph  ",Mon ,2:00 PM
41551,ELC 333,"Holubec,George  ",Thurs ,2:00 PM
41553,ELC 361,"Katz,Allen  ",Tues Fri,11:00 AM
41556,ELC 361,"Katz,Allen  ",Wed ,4:00 PM
41554,ELC 373,"Katz,Allen  ",Tues ,2:00 PM
41558,ELC 383,"Hernandez,Orlando  ",Mon ,2:00 PM
